Event_Date,observations
2012-01-31,1617.0
2012-02-29,3353.0
2012-03-31,3033.0
2012-04-30,2919.0
2012-05-31,2358.0
2012-06-30,2191.0
2012-07-31,2889.0
2012-08-31,3101.0
2012-09-30,1996.0
2012-10-31,2119.0
2012-11-30,1362.0
2012-12-31,1384.0
2013-01-31,1397.0
2013-02-28,1546.0
2013-03-31,1522.0
2013-04-30,1334.0
2013-05-31,2411.0
2013-06-30,1436.0
2013-07-31,1033.0
2013-08-31,2816.0
2013-09-30,3242.0
2013-10-31,1052.0
2013-11-30,659.0
2013-12-31,977.0
2014-01-31,1743.0
2014-02-28,1452.0
2014-03-31,1202.0
2014-04-30,1151.0
2014-05-31,1078.0
2014-06-30,1062.0
2014-07-31,515.0
2014-08-31,951.0
2014-09-30,1832.0
2014-10-31,1518.0
2014-11-30,959.0
2014-12-31,1216.0
2015-01-31,1050.0
2015-02-28,1283.0
2015-03-31,1022.0
2015-04-30,915.0
2015-05-31,1463.0
2015-06-30,1105.0
2015-07-31,1054.0
2015-08-31,1328.0
2015-09-30,1412.0
2015-10-31,2655.0
2015-11-30,1857.0
2015-12-31,1645.0
2016-01-31,1393.0
2016-02-29,2498.0
2016-03-31,1879.0
2016-04-30,1760.0
2016-05-31,1391.0
2016-06-30,1025.0
2016-07-31,1081.0
2016-08-31,1673.0
2016-09-30,2169.0
2016-10-31,2260.0
2016-11-30,1442.0
2016-12-31,2895.0
2017-01-31,1152.0
2017-02-28,1221.0
2017-03-31,1412.0
2017-04-30,3047.0
2017-05-31,1080.0
2017-06-30,1128.0
2017-07-31,1070.0
2017-08-31,809.0
2017-09-30,1010.0
2017-10-31,965.0
2017-11-30,945.0
2017-12-31,1053.0
2018-01-31,2061.0
2018-02-28,2094.0
2018-03-31,2092.0
2018-04-30,3687.0
2018-05-31,801.0
2018-06-30,689.0
2018-07-31,969.0
2018-08-31,835.0
2018-09-30,1635.0
2018-10-31,729.0
2018-11-30,568.0
2018-12-31,828.0
2019-01-31,928.0
2019-02-28,451.0
2019-03-31,939.0
2019-04-30,473.0
2019-05-31,597.0
2019-06-30,623.0
2019-07-31,565.0
2019-08-31,805.0
2019-09-30,570.0
2019-10-31,1768.0
2019-11-30,435.0
2019-12-31,458.0
2020-01-31,782.0
2020-02-29,1509.0
2020-03-31,699.0
2020-04-30,183.0
2020-05-31,1096.222699783191
2020-06-30,1202.4452792501745
2020-07-31,1265.9408264533613
2020-08-31,1122.78129548218
2020-09-30,1665.7567539871536
2020-10-31,1709.0042522759506
2020-11-30,1663.7305405445193
2020-12-31,2014.3786715509946
2021-01-31,1234.1067473509947
2021-02-28,1181.9606223971132
2021-03-31,1285.6342026495856
2021-04-30,1289.4599358934493
2021-04-30,1096.2227019335664
2021-05-31,1202.4452789314273
2021-06-30,1265.9408240053451
2021-07-31,1122.7812992014706
2021-08-31,1665.7567439555414
2021-09-30,1709.0042401861622
2021-10-31,1663.7305305056848
2021-11-30,2014.378658654076
2021-12-31,1234.1067457549057
2022-01-31,1181.9606220067799
2022-02-28,1285.6342001999358
2022-03-31,1289.4599322468448
